"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"3454","晶睿",49.15,397.17,178.92,86.13,89.14,7.80,46.79,2.91,125.42,10.16,1.60,11.94,22.35,96.06,7.36,8.11,14.69,53.39,8.82
"3481","群創",34.07,179.28,178.27,137.64,-27.64,4.66,78.32,5.86,62.28,1.36,0.53,-6.39,-10.01,-27.44,-12.48,-2.76,-2.14,89.50,-1.36
"3494","誠研",60.03,124.06,113.38,29.08,-9.13,23.90,15.27,1.65,221.21,0.38,0.25,-14.84,-37.24,-28.59,-65.63,-1.94,-34.88,-76.96,-3.85
"3501","維熹",24.09,338.64,437.15,261.81,153.25,3.53,103.39,1.93,189.11,3.10,0.72,8.99,12.11,84.42,12.33,6.42,49.18,83.24,5.28
"3504","揚明光",40.49,206.37,196.34,148.33,5.28,6.17,59.15,4.96,73.58,2.33,0.81,1.46,2.04,8.43,1.41,0.57,44.70,87.32,10.38
"3515","華擎",39.77,1786.77,240.70,99.83,109.52,9.70,37.62,1.51,241.72,48.65,1.12,7.02,12.95,117.28,6.23,8.69,19.62,32.91,-5.29
"3518","柏騰",16.30,746.30,606.50,598.71,10.13,1.22,299.18,54.89,6.64,2.01,0.25,1.60,1.67,7.08,5.30,0.31,63.32,81.14,2.28
"3528","安馳",70.87,9870.61,138.28,52.56,10.69,4.31,84.68,5.38,67.84,381.13,1.09,7.02,19.64,70.55,5.84,5.65,-15.91,-15.21,-51.79
"3530","晶相光",28.99,6474.04,444.91,104.44,32.17,81.90,4.45,0.78,467.94,7.62,0.54,3.34,4.57,19.56,6.04,1.59,0.00,36.12,-7.24
"3532","台勝科",31.04,198.86,337.32,266.67,7170.25,6.47,56.41,3.19,114.42,1.35,0.55,16.15,21.11,154.53,29.41,12.43,234.89,121.01,17.81
"3533","嘉澤",26.39,284.02,272.80,225.61,14958.85,2.77,131.76,3.58,101.95,3.44,0.90,21.09,31.53,759.39,23.07,58.70,95.50,95.45,20.62
"3535","晶彩科",41.52,301.23,194.67,171.74,44.63,3.84,95.05,3.73,97.85,3.53,0.69,13.50,25.88,42.04,19.15,3.58,-5.56,193.42,-6.66
"3543","州巧",35.73,338.02,353.98,325.29,-2.02,2.75,132.72,9.70,37.62,2.79,0.62,-0.99,-1.73,-3.20,-1.84,-0.55,29.61,77.64,3.20
"3545","敦泰",57.46,572.46,208.99,118.19,-3513.41,5.88,62.07,2.44,149.59,5.20,0.56,-8.17,-17.03,-86.10,-14.90,-9.39,-5.87,31.40,-28.12
"3550","聯穎",56.40,408.27,201.34,173.50,0.56,2.45,148.97,9.29,39.28,6.55,0.94,0.09,-1.27,-1.81,-0.59,-0.26,42.26,102.88,20.27
"3557","嘉威",49.96,321.49,128.69,76.58,1701.44,5.62,64.94,2.88,126.73,6.66,1.14,12.17,24.16,90.36,10.04,7.03,44.13,97.38,15.96
"3563","牧德",23.84,1334.93,467.52,416.54,129.71,1.57,232.48,2.43,150.20,8.21,0.50,14.08,19.81,164.08,28.15,13.35,107.67,115.69,9.96
"3576","聯合再生",50.05,254.05,190.09,117.72,5.46,7.43,49.12,4.08,89.46,2.04,0.57,3.39,5.70,5.81,4.99,0.61,-11.51,10.13,-2.20
"3583","辛耘",75.50,241.24,112.07,47.28,217.18,5.60,65.17,0.93,392.47,4.10,0.49,4.98,16.94,90.69,10.06,7.08,21.28,81.44,50.45
"3588","通嘉",12.65,314.67,583.90,221.90,338.24,6.63,55.05,1.50,243.33,3.08,0.86,7.52,9.23,33.44,9.34,2.74,-87.88,32.61,-16.96
"3591","艾笛森",27.41,196.78,363.73,296.99,3.96,3.94,92.63,4.10,89.02,1.10,0.47,1.21,1.22,3.76,1.84,0.20,29.95,89.68,2.80
"3592","瑞鼎",40.03,4253.35,264.20,211.96,5689.19,4.96,73.58,4.64,78.66,58.36,1.11,18.94,35.15,593.90,16.92,51.23,55.03,92.36,3.67
"3593","力銘",62.31,145.55,70.09,55.73,-2.78,2.91,125.42,8.15,44.78,2.14,0.64,-5.09,-16.13,-9.83,-10.03,-1.00,-14.97,73.50,-8.76
"3596","智易",65.17,288.95,129.81,72.63,27.26,5.10,71.56,3.00,121.66,10.88,1.28,5.43,14.26,111.92,4.06,9.20,9.79,48.21,6.53
"3605","宏致",55.95,216.72,129.77,100.20,470.36,3.82,95.54,5.23,69.78,3.21,0.77,2.28,4.04,23.43,2.16,1.68,41.37,74.83,21.06
"3607","谷崧",40.03,304.80,205.03,166.26,-9.85,2.50,146.00,4.60,79.34,3.76,0.84,-6.56,-11.75,-20.80,-9.06,-2.23,0.47,2.60,-2.34
"3617","碩天",54.64,341.19,134.29,73.02,32.09,5.66,64.48,1.75,208.57,6.51,0.93,10.67,24.44,180.04,10.32,14.09,7.89,55.02,8.63
